id,raw_sentence,processed_sentence
1227,These words are much more dangerous than many people realize .,word much dangerous many people realize
1228,They provide an emotional infrastructure for atrocities .,provide emotional infrastructure atrocity
1229,"It was Joseph Goebbels who said that if you repeat a lie often enough , people will believe it .",joseph goebbels say repeat lie often enough people believe
1230,He is now being outperformed by his successors .,outperform successor
1231,* 3 . The third aspect is money . *,third aspect money
1232,"Huge amounts of money , which could have solved many social problems in this dysfunctional part of the world , are channeled into three concentric spheres supporting death and murder .",huge amount money could solve many social problem dysfunctional part world channel three concentric sphere support death murder
1233,In the inner circle are the terrorists themselves .,inner circle terrorist
1234,"The money funds their travel , explosives , hideouts and permanent search for soft vulnerable targets .",money fund travel explosive hideout permanent search soft vulnerable target
1235,"The inner circles are primarily financed by terrorist states like Iran and Syria , until recently also by Iraq and Libya and earlier also by some of the Communist regimes .",inner circle primarily finance terrorist state like iran syria recently also iraq libya early also communist regime
1236,"These states , as well as the Palestinian Authority , are the safe havens of the wholesale murder vendors .",state well palestinian authority safe wholesale murder vendor
1237,"They are surrounded by a second wider circle of direct supporters , planners , commanders , preachers , all of whom make a living , usually a very comfortable living , by serving as terror infrastructure .",surround second wide circle direct supporter planner commander preacher make living usually comfortable living serve terror infrastructure
1238,"Finally , we find the third circle of so - called religious , educational and welfare organizations , which actually do some good , feed the hungry and provide some schooling , but brainwash a new generation with hatred , lies and ignorance .",finally find third circle call religious educational welfare organization actually good feed hungry provide schooling brainwash new generation hatred lie ignorance
1239,"This circle operates mostly through mosques , madrasas and other religious establishments but also through inciting electronic and printed media .",circle operate mostly mosque madrasa religious establishment also incite electronic print media
1240,"It is this circle that makes sure that women remain inferior , that democracy is unthinkable and that exposure to the outside world is minimal .",circle make sure woman remain inferior democracy unthinkable exposure outside world minimal
1241,"It is also that circle that leads the way in blaming everybody outside the Moslem world , for the miseries of the region .",also circle lead way blame everybody outside moslem world misery region
1242,"The outer circle is largely financed by Saudi Arabia , but also by donations from certain Moslem communities in the United States and Europe and , to a smaller extent , by donations of European Governments to various NGO's and by certain United Nations organizations , whose goals may be noble , but they are infested and exploited by agents of the outer circle .",outer circle largely finance saudi arabia also donation certain moslem community united state europe small extent donation european government various ngo certain united nation organization whose goal may noble infest exploit agent outer circle
1243,"The Saudi regime , of course , will be the next victim of major terror , when the inner circle will explode into the outer circle .",saudi regime course next victim major terror inner circle explode outer circle
1244,"The Saudis are beginning to understand it , but they fight the inner circles , while still financing the infrastructure at the outer circle .",saudi begin understand fight inner circle still finance infrastructure outer circle
1245,"Figuratively speaking , this outer circle is the guardian , which makes sure that the people look and listen inwards to the inner circle of terror and incitement , rather than to the world outside .",figuratively speak outer circle guardian make sure people look listen inwards inner circle terror incitement rather world outside
1246,"Some parts of this same outer circle actually operate as a result of fear from , or blackmail by , the inner circles .",part outer circle actually operate result fear blackmail inner circle
1247,The horrifying added factor is the high birth rate .,horrifying add factor high birth rate
1248,"Half of the population of the Arab world is under the age of 20 , the most receptive age to incitement , guaranteeing two more generations of blind hatred .",half population arab world age receptive age incitement guarantee two generation blind hatred
1249,Some of the leaders of these various circles live very comfortably on their loot .,leader various circle live comfortably loot
1250,"You meet their children in the best private schools in Europe , not in the training camps of suicide murderers .",meet child good private school europe training camp suicide murderer
1251,"The Jihad "" soldiers "" join packaged death tours to Iraq and other hotspots , while some of their leaders ski in Switzerland .",jihad soldier join package death tour iraq hotspot leader ski switzerland
1252,"Mrs. Arafat , who lives in Paris with her daughter , receives tens of thousands of dollars per month from the allegedly bankrupt Palestinian Authority , while a typical local ringleader of the Al - Aksa brigade , reporting to Arafat , receives only a cash payment of a couple of hundred dollars , for performing murders at the retail level .",mrs. arafat live paris daughter receive ten thousand dollar per month allegedly bankrupt palestinian authority typical local ringleader al aksa brigade report arafat receive cash payment couple hundred dollar perform murder retail level
1253,* 4 . The fourth element of the current world conflict is the total breaking of all laws . *,fourth element current world conflict total breaking law
1254,"The civilized world believes in democracy , the rule of law , including international law , human rights , free speech and free press , among other liberties .",civilized world believe democracy rule law include international law human right free speech free press among liberty
1255,"There are naive old - fashioned habits such as respecting religious sites and symbols , not using ambulances and hospitals for acts of war , avoiding the mutilation of dead bodies and not using children as human shields or human bombs .",naive old fashioned habit respect religious site symbol use ambulance hospital act war avoid mutilation dead body use child human shield human bomb
1256,"Never in history , not even in the Nazi period , was there such total disregard of all of the above as we observe now .",never history even nazi period total disregard observe
1257,Every student of political science debates how you prevent an anti-democratic force from winning a democratic election and abolishing democracy .,every student political science debate prevent anti-democratic force win democratic election abolish democracy
1258,Other aspects of a civilized society must also have limitations .,aspect civilized society must also limitation
1259,Can a policeman open fire on someone trying to kill him ?,policeman open fire someone try kill
1260,Can a government listen to phone conversations of terrorists and drug dealers ?,government listen phone conversation terrorist drug dealer
1261,"Does free speech protect you when you shout "" fire "" in a crowded theater ?",free speech protect shout fire crowded theater
1262,"Should there be death penalty , for deliberate multiple murders ?",death penalty deliberate multiple murder
1263,These are the old - fashioned dilemmas .,old fashioned dilemma
1264,But now we have an entire new set .,entire new set
1265,"Do you raid a mosque , which serves as a terrorist ammunition storage ?",raid mosque serve terrorist ammunition storage
1266,"Do you return fire , if you are attacked from a hospital ?",return fire attack hospital
1267,Do you storm a church taken over by terrorists who took the priests hostages ?,storm church take terrorist take priest hostage
1268,Do you search every ambulance after a few suicide murderers use ambulances to reach their targets ?,search every ambulance suicide murderer use ambulance reach target
1269,Do you strip every woman because one pretended to be pregnant and carried a suicide bomb on her belly ?,strip every woman one pretend pregnant carry suicide bomb belly
1270,"Do you shoot back at someone trying to kill you , standing deliberately behind a group of children ?",shoot back someone try kill stand deliberately behind group child
1271,"Do you raid terrorist headquarters , hidden in a mental hospital ?",raid terrorist headquarters hide mental hospital
1272,"Do you shoot an arch-murderer who deliberately moves from one location to another , always surrounded by children ?",shoot arch-murderer deliberately move one location another always surround child
1273,All of these happen daily in Iraq and in the Palestinian areas .,happen daily iraq palestinian area
1274,"Well , you do not want to face the dilemma .",well want face dilemma
1275,But it can not be avoided .,avoid
1276,"Suppose , for the sake of discussion , that someone would openly stay in a well - known address in Teheran , hosted by the Iranian Government and financed by it , executing one atrocity after another in Spain or in France , killing hundreds of innocent people , accepting responsibility for the crimes , promising in public TV interviews to do more of the same , while the Government of Iran issues public condemnations of his acts but continues to host him , invite him to official functions and treat him as a great dignitary .",suppose sake discussion someone would openly stay well known address teheran host iranian government finance execute one atrocity another spain france kill hundred innocent people accept responsibility crime promise public tv interview government iran issue public condemnation act continue host invite official function treat great dignitary
1277,"I leave it to you as homework to figure out what Spain or France would have done , in such a situation .",leave homework figure spain france would situation
1278,The problem is that the civilized world is still having illusions about the rule of law in a totally lawless environment .,problem civilized world still illusion rule law totally lawless environment
1279,It is trying to play ice hockey by sending a ballerina ice - skater into the ring or to knock out a heavyweight boxer by a chess player .,try play ice hockey send ballerina ice skater ring knock heavyweight boxer chess player
1280,"In the same way that no country has a law against cannibals eating its prime minister , because such an act is unthinkable , international law does not address killers shooting from hospitals , mosques and ambulances , while being protected by their Government or society .",way country law cannibal eat prime minister act unthinkable international law address killer shoot hospital mosque ambulance protect government society
1281,"International law does not know how to handle someone who sends children to throw stones , stands behind them and shoots with immunity and can not be arrested because he is sheltered by a Government .",international law know handle someone send child throw stone stand behind shoot immunity arrest shelter government
1282,"International law does not know how to deal with a leader of murderers who is royally and comfortably hosted by a country , which pretends to condemn his acts or just claims to be too weak to arrest him .",international law know deal leader murderer royally comfortably host country pretend condemn act claim weak arrest
1283,"The amazing thing is that all of these crooks demand protection under international law , and define all those who attack them as "" war criminals , "" with some Western media repeating the allegations .",amazing thing crook demand protection international law define attack war criminal western media repeat allegation
1284,"The good news is that all of this is temporary , because the evolution of international law has always adapted itself to reality .",good news temporary evolution international law always adapt reality
1285,"The punishment for suicide murder should be death or arrest before the murder , not during and not after .",punishment suicide murder death arrest murder
1286,"After every world war , the rules of international law have changed , and the same will happen after the present one .",every world war rule international law change happen present one
1287,"But during the twilight zone , a lot of harm can be done .",twilight zone lot harm
1288,The picture I described here is not pretty .,picture describe pretty
1289,"In the short run , only fight and win .",short run fight win
1290,"In the long run , only educate the next generation and open it to the world .",long run educate next generation open world
1291,The inner circles can and must be destroyed by force .,inner circle must destroy force
1292,The outer circle can not be eliminated by force .,outer circle eliminate force
1293,"Here we need financial starvation of the organizing elite , more power to women , more education , counter-propaganda , boycott whenever feasible and access to Western media , internet and the international scene .",need financial starvation organize elite power woman education counter-propaganda boycott whenever feasible access western media internet international scene
1294,"Above all , we need a total absolute unity and determination of the civilized world against all three circles of evil .",need total absolute unity determination civilized world three circle evil
1295,"Allow me , for a moment , to depart from my alleged role as a taxi driver and return to science .",allow moment depart alleged role taxi driver return science
1296,"When you have a malignant tumor , you may remove the tumor itself surgically .",malignant tumor may remove tumor surgically
1297,"You may also starve it by preventing new blood from reaching it from other parts of the body , thereby preventing new "" supplies "" from expanding the tumor .",may also starve prevent new blood reach part body thereby prevent new supplies expand tumor
1298,"If you want to be sure , it is best to do both .",want sure good
1299,"But before you fight and win , by force or otherwise , you have to realize that you are in a war , and this may take Europe a few more years .",fight win force otherwise realize war may take europe year
1300,"In order to win , it is necessary to first eliminate the terrorist regimes , so that no Government in the world will serve as a safe haven for these people .",order win necessary first eliminate terrorist regime government world serve safe people
1301,"I do not want to comment here on whether the American - led attack on Iraq was justified from the point of view of weapons of mass destruction or any other pre-war argument , but I can look at the post-war map of Western Asia .",want comment whether american lead attack iraq justified point view weapon mass destruction pre-war argument look post-war map western asia
1302,"Now that Afghanistan , Iraq and Libya are out , two and a half terrorist states remain : Iran , Syria and Lebanon , the latter being a Syrian colony .",afghanistan iraq libya two half terrorist state remain iran syria lebanon latter syrian colony
1303,Perhaps Sudan should be added to the list .,perhaps sudan add list
1304,"As a result of the conquest of Afghanistan and Iraq , both Iran and Syria are now totally surrounded by territories unfriendly to them .",result conquest afghanistan iraq iran syria totally surround territory unfriendly
1305,"Iran is encircled by Afghanistan , by the Gulf States , Iraq and the Moslem republics of the former Soviet Union .",iran encircle afghanistan gulf state iraq moslem republic former soviet union
1306,"Syria is surrounded by Turkey , Iraq , Jordan and Israel .",syria surround turkey iraq jordan israel
1307,This is a significant strategic change and it applies strong pressure on the terrorist countries .,significant strategic change apply strong pressure terrorist country
1308,It is not surprising that Iran is so active in trying to incite a Shiite uprising in Iraq .,surprising iran active try incite shiite uprising iraq
1309,"I do not know if the American plan was actually to encircle both Iran and Syria , but that is the resulting situation .",know american plan actually encircle iran syria result situation
1310,"In my humble opinion , the number one danger to the world today is Iran and its regime .",humble opinion number one danger world today iran regime
1311,It definitely has ambitions to rule vast areas and to expand in all directions .,definitely ambition rule vast area expand direction
1312,It has an ideology which claims supremacy over Western culture .,ideology claim supremacy western culture
1313,It is ruthless .,ruthless
1314,"It has proven that it can execute elaborate terrorist acts without leaving too many traces , using Iranian Embassies .",prove execute elaborate terrorist act without leave many trace use iranian embassy
1315,It is clearly trying to develop nuclear weapons .,clearly try develop nuclear weapon
1316,"Its so - called moderates and conservatives play their own virtuoso version of the "" good - cop versus bad - cop "" game .",call moderate conservative play virtuoso version good cop versus bad cop game
1317,"Iran sponsors Syrian terrorism , it is certainly behind much of the action in Iraq , it is fully funding the Hezbollah and , through it , the Palestinian Hamas and Islamic Jihad ; it performed acts of terror at least in Europe and in South America and probably also in Uzbekistan and Saudi Arabia and it truly leads a multi-national terror consortium , which includes , as minor players , Syria , Lebanon and certain Shiite elements in Iraq .",iran sponsor syrian terrorism certainly behind much action iraq fully fund hezbollah palestinian hamas islamic jihad perform act terror least europe south america probably also uzbekistan saudi arabia truly lead multi-national terror consortium include minor player syria lebanon certain shiite element iraq
1318,"Nevertheless , most European countries still trade with Iran , try to appease it and refuse to read the clear signals .",nevertheless european country still trade iran try appease refuse read clear signal
1319,In order to win the war it is also necessary to dry the financial resources of the terror conglomerate .,order win war also necessary dry financial resource terror conglomerate
1320,"It is pointless to try to understand the subtle differences between the Sunni terror of Al Qaeda and Hamas and the Shiite terror of Hezbollah , Sadr and other Iranian - inspired enterprises .",pointless try understand subtle difference sunni terror al qaeda hamas shiite terror hezbollah sadr iranian inspire enterprise
1321,"When it serves their business needs , all of them collaborate beautifully .",serve business need collaborate beautifully
1322,"It is crucial to stop Saudi and other financial support of the outer circle , which is the fertile breeding ground of terror .",crucial stop saudi financial support outer circle fertile breeding ground terror
1323,"It is important to monitor all donations from the Western World to Islamic organizations , to monitor the finances of international relief organizations and to react with forceful economic measures to any small sign of financial aid to any of the three circles of terrorism .",important monitor donation western world islamic organization monitor finances international relief organization react forceful economic measure small sign financial aid three circle terrorism
1324,"It is also important to act decisively against the campaign of lies and fabrications and to monitor those Western media who collaborate with it out of naivety , financial interests or ignorance .",also important act decisively campaign lie fabrication monitor western media collaborate naivety financial interest ignorance
1325,"Above all , never surrender to terror .",never surrender terror
1326,"No one will ever know whether the recent elections in Spain would have yielded a different result , if not for the train bombings a few days earlier .",one ever know whether recent election spain would yield different result train bombing day early
1327,But it really does not matter .,really matter
1328,What matters is that the terrorists believe that they caused the result and that they won by driving Spain out of Iraq .,matter terrorist believe cause result win drive spain iraq
1329,"The Spanish story will surely end up being extremely costly to other European countries , including France , who is now expelling inciting preachers and forbidding veils and including others who sent troops to Iraq .",spanish story surely end extremely costly european country include france expel incite preacher forbid veil include send troops iraq
1330,"In the long run , Spain itself will pay even more .",long run spain pay even
1331,Is the solution a democratic Arab world ?,solution democratic arab world
1332,"If by democracy we mean free elections but also free press , free speech , a functioning judicial system , civil liberties , equality to women , free international travel , exposure to international media and ideas , laws against racial incitement and against defamation , and avoidance of lawless behavior regarding hospitals , places of worship and children , then yes , democracy is the solution .",democracy mean free election also free press free speech function judicial system civil liberty equality woman free international travel exposure international media idea law racial incitement defamation avoidance lawless behavior regard hospital place worship child yes democracy solution
1333,"If democracy is just free elections , it is likely that the most fanatic regime will be elected , the one whose incitement and fabrications are the most inflammatory .",democracy free election likely fanatic regime elect one whose incitement fabrication inflammatory
1334,"We have seen it already in Algeria and , to a certain extent , in Turkey .",see already algeria certain extent turkey
1335,"It will happen again , if the ground is not prepared very carefully .",happen ground prepare carefully
1336,"On the other hand , a certain transition democracy , as in Jordan , may be a better temporary solution , paving the way for the real thing , perhaps in the same way that an immediate sudden democracy did not work in Russia and would not have worked in China .",hand certain transition democracy jordan may good temporary solution pave way real thing perhaps way immediate sudden democracy work russia would work china
1337,I have no doubt that the civilized world will prevail .,doubt civilized world prevail
1338,"But the longer it takes us to understand the new landscape of this war , the more costly and painful the victory will be .",long take understand new landscape war costly painful victory
1339,"Europe , more than any other region , is the key .",europe region key
1340,"Its understandable recoil from wars , following the horrors of World War II , may cost thousands of additional innocent lives , before the tide will turn . """,understandable recoil war follow horror world war ii may cost thousand additional innocent life tide turn
1341,Zawahiri was associated with a faction of the Egyptian Islamic Jihad known as the Vanguards of Conquest .,zawahiri associate faction egyptian islamic jihad know vanguard conquest
1342,Zawahiri and the Vanguards of Conquest were seeking to recreate Mohammed 's taking of mecca by a small band through violent attacks on Egyptian leaders .,zawahiri vanguard conquest seek recreate mohammed 's taking mecca small band violent attack egyptian leader
1343,"By 1998 , Zawahiri had determined that the Egyptian Islamic Jihad should focus on its struggle against the United States and hold off on further attacks against the Egyptian regime .",zawahiri determine egyptian islamic jihad focus struggle united state hold attack egyptian regime
1344,A key question is how they acquired the anthrax strain first isolated by the Texas Veterinary Medical Diagnostic Lab in 1980 .,key question acquire anthrax strain first isolate texas veterinary medical diagnostic lab
1345,"According to senior counter terrorism officials , both here and abroad , among the supporters of these militant islamists were people who blended into society and were available to act when another part of the network requested it .",accord senior counter terrorism official abroad among supporter militant islamist people blend society available act another part network request
1346,"Al Qaeda , Anthrax and Ayman : Means , Motive , Modus Operandi and Opportunity",al qaeda anthrax ayman means motive modus operandi opportunity
1347,Homeland Security,homeland security
1348,"In early June 2003 , a Central Intelligence Agency ( "" CIA "" ) report publicly disclosed that the reason for Mohammed Atta 's and Zacarias Moussaoui 's inquiries into cropdusters was for the contemplated use in dispersing biological agents such as anthrax .",early june central intelligence agency cia report publicly disclose reason mohammed atta 's zacarias moussaoui 's inquiry cropduster contemplate use disperse biological agent anthrax
1349,"An early September 2003 Newsweek article included a rumor by a Taliban source that at a meeting in April 2003 Bin Laden was planning an "" unbelievable "" biological attack , the plans for which had suffered a setback upon the arrest of Khalid Shaikh Mohammed ( "" KSM "" ) .",early september newsweek article include rumor taliban source meeting april bin laden plan unbelievable biological attack plan suffer setback upon arrest khalid shaikh mohammed ksm
1350,"He had been captured the previous month in Rawalpindi , Pakistan .",capture previous month rawalpindi pakistan
1351,"In November 2003 , a report by a UN Panel of experts concluded that Al Qaeda is determined to use chemical and biological weapons and is restrained only by technical difficulties .",november report un panel expert conclude al qaeda determined use chemical biological weapon restrain technical difficulty
1352,"In a statement issued June 16 , 2004 , the 9/11 Commission Staff concluded that "" Al Qaeda had an ambitious biological weapons program and was making advances in its ability to produce anthrax prior to September 11 .",statement issue june 9/11 commission staff conclude al qaeda ambitious biological weapon program make advance ability produce anthrax prior september
1353,"According to Director of Central Intelligence George Tenet , al Qaeda ’s ability to conduct an anthrax attack is one of the most immediate threats the United States is likely to face . """,accord director central intelligence george tenet al qaeda 's ability conduct anthrax attack one immediate threat united state likely face
1354,"On August 9 , 2004 , it was announced that in the Spring of 2001 , a man named El - Shukrijumah , also known as Jafar the Pilot , who was part of a "" second wave , "" had been casing New York City helicopters .",august announce spring man name el shukrijumah also know jafar pilot part second wave case new york city helicopter
1355,Photographs from a seized computer disc included the controls and the locks on the door between the passengers and pilot .,photograph seize computer disc include control lock door passenger pilot
1356,"In a bulletin , the FBI noted that the surveillance might relate to a plot to disperse a chemical or biological weapon .",bulletin fbi note surveillance might relate plot disperse chemical biological weapon
1357,The CIA reportedly has been quietly building a case that the anthrax mailings were an international plot .,cia reportedly quietly build case anthrax mailing international plot
1358,This is old news .,old news
1359,"It 's just no longer bureaucratically impolite to openly contest the FBI 's ( former ) theory about a lone , American scientist .",long bureaucratically impolite openly contest fbi 's former theory lone american scientist
1360,"Many people have argued that a US - based Al Qaeda operative is behind the earlier Fall 2001 anthrax mailings in the US , and that the mailings served as a threat and warning .",many people argue us base al qaeda operative behind early fall anthrax mailing us mailing serve threat warning
1361,"Princeton islamist scholar Bernard Lewis has explained that while islamists may disagree about whether killing innocents is sanctioned by the laws of jihad , extremists like Zawahiri agree that notice must be given before biochemical weapons are used .",princeton islamist scholar bernard lewis explain islamist may disagree whether kill innocent sanction law jihad extremist like zawahiri agree notice must give biochemical weapon use
1362,""" The Prophet 's guidance , "" says Michael Scheuer , an al - Qaeda analyst who recently retired from the CIA and once headed its Bin Laden unit , "" was always , Before you attack someone , warn them very clearly ... "" The anthrax mailings followed the pattern of letters they sent in January 1997 to newspaper branches in Washington , D.C. and New York City , as well as symbolic targets .",prophet 's guidance say michael scheuer al qaeda analyst recently retire cia head bin laden unit always attack someone warn clearly anthrax mailing follow pattern letter send january newspaper branch washington d.c. new york city well symbolic target
1363,The letter bombs were sent in connection with the detention of the blind sheik Abdel Rahman and those responsible for the earlier World Trade Center bombing in 1993 .,letter bomb send connection detention blind sheik abdel rahman responsible early world trade center bombing
1364,"Handwritten notes and files on a laptop seized upon the capture of KSM , Al Qaeda 's # 3 , included a feasible anthrax production plan using a spray dryer and addressed the recruitment of necessary expertise .",handwritten note file laptop seize upon capture ksm al qaeda 's include feasible anthrax production plan use spray dryer address recruitment necessary expertise
1365,"What your morning paper did not tell you , however , was that the CIA seized a similar disc from Ayman Zawahiri 's right - hand , Ahmed Salama Mabruk , 5 years earlier .",morning paper tell however cia seize similar disc ayman zawahiri 's right hand ahmed salama mabruk year early
1366,The computer disk was confiscated from him during his arrest by the CIA in Azerbaijan and handed over to the Egyptian authorities .,computer disk confiscate arrest cia azerbaijan hand egyptian authority
1367,"Mabruk , at the time , was the head of Jihad 's military operations .",mabruk time head jihad 's military operation
1368,There is a risk that observers underestimate the time that Al Qaeda has had to make progress in such recruitment and research and development .,risk observer underestimate time al qaeda make progress recruitment research development
1369,"Some may still think that even in the final stages of the 9/11 plot , Zacarias Moussaoui was going to fly a 5th plane into the Capitol or White House .",may still think even final stage 9/11 plot zacarias moussaoui go fly 5th plane capitol white house
1370,Others argue that he was to be part of a second wave of airliners directed to targets on the West Coast .,argue part second wave airliner direct target west coast
1371,"There is an e-mail by Moussaoui , however , dated July 31 , 2001 indicating that he sought to take a crop dusting course that was to last up to 6 months .",e-mail moussaoui however date july indicate seek take crop dusting course last month
1372,"In March 2003 , Mohammed reportedly said that Moussaoui was not going to be part of 9/11 but was to be part of a "" second wave . """,march mohammed reportedly say moussaoui go part 9/11 part second wave
1373,"Although Ramzi Binalshibh provided him $ 14,000 in July , accused September 11 conspirator Zacarias Moussaoui told his trial judge that he had an al Qaeda mission that would have come after the terrorist attacks .",although ramzi binalshibh provide july accuse september conspirator zacarias moussaoui tell trial judge al qaeda mission would come terrorist attack
1374,"KSM explained that Moussaoui 's inquiries about crop dusters may have been related to the anthrax work being done by US - trained biochemist and Al Qaeda operative , Malaysian Yazid Sufaat .",ksm explain moussaoui 's inquiry crop duster may related anthrax work us train biochemist al qaeda operative malaysian yazid sufaat
1375,"Zacarias Moussaoui , never the sharpest tool in the shed and thought by his superiors to be unreliable , has told the judge at his trial in a filing that he wants "" anthrax for Jew sympathizer only . """,zacarias moussaoui never sharp tool shed think superior unreliable tell judge trial filing want anthrax jew sympathizer
1376,"Al Qaeda 's regional operative , Hambali , who was at a key January 2000 meeting and supervised Sufaat , has been captured .",al qaeda 's regional operative hambali key january meeting supervise sufaat capture
1377,Hambali reportedly is cooperating to some degree .,hambali reportedly cooperate degree
1378,"KSM and Hambali sent al - Hindi ( al - Britani ) , along with Jafar the Pilot , to case NYC targets for a second wave .",ksm hambali send al hindi al britani along jafar pilot case nyc target second wave
1379,It was as part of that surveillance in early 2001 that Jafar the Pilot studied tourist helicopters in the NYC area .,part surveillance early jafar pilot study tourist helicopter nyc area
1380,"Sufaat , according to both KSM and Hambali , did not have the virulent US Army Ames strain that would be used .",sufaat accord ksm hambali virulent us army ames strain would use
1381,That would require someone who had access to the strain .,would require someone access strain
1382,"But if experience is any guide , nothing would stand in the way of Dr. Ayman Zawahiri 's decade - long quest to weaponize and use anthrax against US targets that was described by one confidante to an Egyptian newspaper reporter .",experience guide nothing would stand way dr. ayman zawahiri 's decade long quest weaponize use anthrax us target describe one confidante egyptian newspaper reporter
1383,The islamist had been released from Egyptian prison and had known Zawahiri well for many years .,islamist release egyptian prison know zawahiri well many year
1384,Emails from Zawahiri to Atef in the Spring of 1999 indicate that Ayman was a close student of the USAMRIID anthrax program .,email zawahiri atef spring indicate ayman close student usamriid anthrax program
1385,He believed that the koran instructed that a jihadist should use the weapons used by the crusader .,believe koran instruct jihadist use weapon use crusader
1386,""" What we know is that he 's always said it was a religious obligation to have the same weapons as their enemies , "" former CIA OBL unit counter terrorism chief Michael Scheuer has said .",know always say religious obligation weapon enemy former cia obl unit counter terrorism chief michael scheuer say
1387,"The Wall Street Journal reported that a computer used by Zawahiri contains a June 1999 memo that "" said the program should seek cover and talent in educational institutions , which it said were ' more beneficial to us and allow easy access to specialists , which will greatly benefit us in the first stage , God willing . ' ''",wall street journal report computer use zawahiri contain june memo say program seek cover talent educational institution say beneficial allow easy access specialist greatly benefit first stage god willing
1388,Zawahiri was associated with a faction of the Egyptian Islamic Jihad known as the Vanguards of Conquest .,zawahiri associate faction egyptian islamic jihad know vanguard conquest
1389,Zawahiri and the Vanguards of Conquest were seeking to recreate Mohammed 's taking of mecca by a small band through violent attacks on Egyptian leaders .,zawahiri vanguard conquest seek recreate mohammed 's taking mecca small band violent attack egyptian leader
1390,"By 1998 , Zawahiri had determined that the Egyptian Islamic Jihad should focus on its struggle against the United States and hold off on further attacks against the Egyptian regime .",zawahiri determine egyptian islamic jihad focus struggle united state hold attack egyptian regime
1391,A key question is how they acquired the anthrax strain first isolated by the Texas Veterinary Medical Diagnostic Lab in 1980 .,key question acquire anthrax strain first isolate texas veterinary medical diagnostic lab
1392,"According to senior counter terrorism officials , both here and abroad , among the supporters of these militant islamists were people who blended into society and were available to act when another part of the network requested it .",accord senior counter terrorism official abroad among supporter militant islamist people blend society available act another part network request
1393,"A few days before Christmas 2003 , after a renewed audiotape threat by Zawahiri of attacks , to include in the US homeland , the threat level was raised to orange or "" high . """,day christmas renew audiotape threat zawahiri attack include us homeland threat level raise orange high
1394,"After the alert condition had long since returned to yellow , Zawahiri in late February issued another audiotape .",alert condition long since return yellow zawahiri late february issue another audiotape
1395,He urged the President that brigades and brigades would be coming under the banner of jihad carrying death and seeking paradise .,urge president brigade brigade would come banner jihad carry death seek paradise
1396,Zawahiri said that the US should expect another 9/11 on US soil .,zawahiri say us expect another 9/11 us soil
1397,"According to some reports , Zawahiri is thought by intelligence to be somewhere near the border of Pakistan and Afghanistan .",accord report zawahiri think intelligence somewhere near border pakistan afghanistan
1398,"At one time , some thought he had been spotted in Iran .",one time think spot iran
1399,"Wherever he is , authorities need to focus on the traceable connection between him and those he or Atef recruited .",wherever authority need focus traceable connection atef recruit
1400,"In October 2001 , did the FBI profilers know of the draft message Khalid Mohammed had on the seized laptop ( from 1995 ) that was signed "" Khalid Sheik Bojinka "" ?",october fbi profiler know draft message khalid mohammed seize laptop sign khalid sheik bojinka
1401,The letter threatened to use biochemical weapons if the blind sheik was not released .,letter threaten use biochemical weapon blind sheik release
1402,"( Khalid Mohammed 's involvement dates back to Bojinka , as does Hambali 's ) .",khalid mohammed 's involvement date back bojinka hambali 's
1403,Use of biochemical weapons as blackmail and threatened retaliation for such detentions was an alternative scenario in the Bojinka planning .,use biochemical weapon blackmail threaten retaliation detention alternative scenario bojinka planning
1404,"In May 2004 , Patrick Hughes , Lieutenant General ( Retired ) , Assistant Secretary for Information Analysis , Homeland Security Department testified before the 9/11 Commission .",may patrick hughes lieutenant general retired assistant secretary information analysis homeland security department testify 9/11 commission
1405,"He explained that interrogations and other evidence revealed that Al Qaeda wanted to strike the US with a nonconventional weapon , most notably anthrax .",explain interrogation evidence reveal al qaeda want strike us nonconventional weapon notably anthrax
1406,"The same week , the WTC head testified that while they had not received any briefing on the use of planes , they had taken steps to prepare for an attack using anthrax based on intelligence that had been received .",week wtc head testify receive briefing use plane take step prepare attack use anthrax base intelligence receive
1407,"Al Qaeda has had anthrax , the raw seed product in its unweaponized form , since at least 1997 , when it was purchased by Bin Laden through the Moro Islamic Liberation Front ( "" Moro Front "" or "" MILF "" ) .",al qaeda anthrax raw seed product unweaponized form since least purchase bin laden moro islamic liberation front moro front milf
1408,"Zawahiri , Al Qaeda 's # 2 , is head of Al Qaeda 's biochemical program .",zawahiri al qaeda 's head al qaeda 's biochemical program
1409,The CIA has known of Zawahiri 's plans to use anthrax for a half decade .,cia know zawahiri 's plan use anthrax half decade
1410,The confidante and right - hand man of Dr. Ayman Zawahiri admitted that Zawahiri succeeded in obtaining anthrax and intended to use it against US targets .,confidante right hand man dr. ayman zawahiri admit zawahiri succeed obtain anthrax intend use us target
1411,Another senior Al Qaeda member ( a shura or policy - making council member no less ) was working for the Egyptian intelligence services and he confirmed the report in a sworn lengthy confession .,another senior al qaeda member shura policy make council member less work egyptian intelligence service confirm report swear lengthy confession
1412,Even Zawahiri 's attorney in 1999 said that Bin Laden and Zawahiri were likely to resort to the biological and chemical agents they possessed given the extradition pressure senior Al Qaeda leaders faced .,even zawahiri 's attorney say bin laden zawahiri likely resort biological chemical agent possess give extradition pressure senior al qaeda leader face
